iter	Passed	Remaining
580	10239	7384
581	10246	7359
582	10254	7334
583	10265	7312
584	10273	7287
585	10282	7264
586	10290	7239
587	10298	7216
588	10306	7191
589	10312	7166
590	10320	7141
591	10329	7119
592	10337	7095
593	10365	7084
594	10386	7070
595	10396	7047
596	10405	7023
597	10418	7003
598	10449	6995
599	10462	6974
600	10472	6952
601	10488	6933
602	10504	6916
603	10521	6898
604	10546	6885
605	10576	6876
606	10597	6861
607	10625	6850
608	10659	6843
609	10685	6831
610	10708	6817
611	10733	6804
612	10742	6782
613	10750	6758
614	10759	6735
615	10768	6712
616	10776	6689
617	10784	6666
618	10793	6643
619	10802	6621
620	10811	6598
621	10821	6576
622	10867	6576
623	10879	6555
624	10894	6536
625	10902	6513
626	10940	6508
627	10991	6511
628	11004	6490
629	11026	6476
630	11040	6456
631	11052	6435
632	11060	6412
633	11068	6389
634	11076	6366
635	11086	6344
636	11093	6321
637	11103	6300
638	11110	6276
639	11118	6254
640	11125	6231
641	11133	6208
642	11140	6185
643	11148	6162
644	11156	6140
645	11164	6118
646	11171	6095
647	11179	6072
648	11186	6049
649	11193	6027
650	11200	6004
651	11207	5981
652	11216	5960
653	11225	5939
654	11235	5917
655	11243	5896
656	11251	5874
657	11259	5852
658	11267	5830
659	11274	5808
660	11281	5785
661	11290	5764
662	11297	5742
663	11306	5721
664	11314	5699
665	11325	5679
666	11333	5658
667	11339	5635
668	11346	5614
669	11354	5592
670	11363	5571
671	11370	5550
672	11378	5528
673	11386	5507
674	11394	5486
675	11403	5465
676	11411	5444
677	11419	5423
678	11429	5403
679	11459	5392
680	11467	5371
681	11478	5352
682	11517	5345
683	11528	5325
684	11558	5315
685	11582	5301
686	11604	5287
687	11616	5268
688	11633	5251
689	11643	5231
690	11688	5226
691	11696	5206
692	11707	5186
693	11719	5167
694	11729	5147
695	11739	5127
696	11750	5108
697	11759	5088
698	11784	5074
699	11807	5060
700	11836	5048
701	11857	5033
702	11867	5013
703	11879	4994
704	11894	4977
705	11903	4957
706	11914	4937
707	11922	4917
708	11930	4896
709	11937	4875
710	11945	4855
711	11952	4834
712	11962	4815
713	11971	4795
714	11981	4775
715	12037	4774
716	12054	4757
717	12097	4751
718	12114	4734
719	12126	4715
720	12140	4698
721	12187	4692
722	12196	4672
723	12204	4652
724	12213	4632
725	12222	4613
726	12230	4592
727	12239	4573
728	12251	4554
729	12259	4534
730	12266	4513
731	12274	4493
732	12282	4474
733	12293	4455
734	12302	4435
735	12314	4417
736	12322	4397
737	12328	4376
738	12337	4357
739	12345	4337
740	12352	4317
741	12360	4297
742	12367	4277
743	12375	4258
744	12382	4238
745	12392	4219
746	12400	4200
747	12408	4180
748	12416	4161
749	12424	4141
750	12434	4122
751	12441	4103
752	12451	4084
753	12460	4065
754	12468	4046
755	12476	4026
756	12486	4008
757	12496	3989
758	12505	3970
759	12515	3952
760	12522	3932
761	12529	3913
762	12538	3894
763	12546	3875
764	12553	3856
765	12560	3836
766	12567	3817
767	12574	3798
768	12582	3779
769	12590	3760
770	12597	3741
771	12605	3722
772	12617	3705
773	12623	3686
774	12631	3667
775	12638	3648
776	12647	3629
777	12654	3610
778	12663	3592
779	12670	3573
780	12679	3555
781	12686	3536
782	12694	3518
783	12702	3499
784	12712	3481
785	12721	3463
786	12730	3445
787	12739	3427
788	12746	3408
789	12755	3390
790	12764	3372
791	12773	3354
